,rule,"((1,),)","((0,),)","((0, 1),)","((0,), (1,))"
0,0,0.0,0.0,0.0,0.0
1,1,0.22957359392271615,0.2295735941636705,0.2704264058363295,0.0817045305364168
2,2,0.22957359781525222,0.2295735984868843,0.2704264015131157,0.08170452664388073
3,3,0.0,0.9999999999999987,0.0,0.0
4,4,0.22957359659936127,0.2295736139268003,0.2704263860731997,0.08170452785977167
5,5,0.9999999999999885,-1.1102230246251565e-14,0.0,0.0
6,6,4.440892098500626e-16,0.0,0.9999999999999996,0.0
7,7,0.22957359373331787,0.22957361049342762,0.2704263895065724,0.08170453072581507
8,8,0.22957359845506042,0.22957359942747546,0.27042640057252454,0.08170452600407252
9,9,0.0,8.881784197001252e-16,0.9999999999999991,0.0
10,10,0.9999999999999996,0.0,0.0,0.0
11,11,0.22957359427824242,0.22957358932783256,0.27042641067216744,0.08170453018089052
12,12,-3.326228181776969e-13,0.9999999999996674,0.0,0.0
13,13,0.22957361112837882,0.22957358996154076,0.27042641003845924,0.08170451333075412
14,14,0.22957359544943223,0.22957360586585374,0.27042639413414626,0.08170452900970071
15,15,0.0,0.0,0.0,0.0
