,rule,"((0,), (1,))","((0,),)","((1,),)","((0, 1),)"
0,0,0.0,0.0,0.0,0.0
1,1,0.0,0.31127812445913294,0.31127812445913294,0.18872187554086706
2,2,0.0,0.31127812445913294,0.31127812445913294,0.18872187554086706
3,3,0.0,1.0,0.0,0.0
4,4,0.0,0.31127812445913294,0.31127812445913294,0.18872187554086706
5,5,0.0,0.0,1.0,0.0
6,6,0.0,0.0,0.0,1.0
7,7,0.0,0.31127812445913294,0.31127812445913294,0.18872187554086706
8,8,0.0,0.31127812445913294,0.31127812445913294,0.18872187554086706
9,9,0.0,0.0,0.0,1.0
10,10,0.0,0.0,1.0,0.0
11,11,0.0,0.31127812445913294,0.31127812445913294,0.18872187554086706
12,12,0.0,1.0,0.0,0.0
13,13,0.0,0.31127812445913294,0.31127812445913294,0.18872187554086706
14,14,0.0,0.31127812445913294,0.31127812445913294,0.18872187554086706
15,15,0.0,0.0,0.0,0.0
