,rule,n_cells,m_attractors,max_period,max_transient,derrida_coeff,transient_to_attractor
115,38,14,120,14,2,0.875,9.082461538461539
116,38,16,298,16,2,0.875,13.024395463299808
117,39,12,44,24,5,0.75,3.5612472160356345
118,39,14,97,28,8,0.75,5.236771983250857
119,39,16,257,32,9,0.75,7.100865265760198
120,40,12,5,12,8,0.75,135.53333333333333
121,40,14,6,14,9,0.75,314.0769230769231
122,40,16,8,16,11,0.75,719.1758241758242
123,41,12,28,36,18,1.125,15.318725099601593
124,41,14,24,28,31,1.125,61.29657794676806
125,41,16,39,176,46,1.125,66.14754098360656
126,42,12,132,12,1,0.625,1.732488325550367
127,42,14,369,14,1,0.625,2.2309209228948927
128,42,16,1083,16,1,0.625,2.820227338968231
129,43,12,61,12,5,0.75,5.3602484472049685
130,43,14,126,14,5,0.75,8.729216152019003
131,43,16,283,16,7,0.75,13.867513611615244
132,44,12,99,3,6,0.875,39.554455445544555
133,44,14,211,1,8,0.875,76.64928909952607
134,44,16,453,1,8,0.875,143.6710816777042
135,45,12,33,240,167,1.0,3.366737739872068
136,45,14,16,2198,312,1.0,1.2542652724270775
137,45,16,42,2816,1776,1.0,4.342899070601663
138,46,12,11,12,2,0.75,40.795918367346935
139,46,14,17,14,2,0.75,76.64928909952607
140,46,16,31,16,2,0.75,143.6710816777042
141,47,12,32,12,6,0.625,11.525993883792049
142,47,14,65,14,6,0.625,17.984936268829664
143,47,16,143,16,8,0.625,28.494149414941493
144,48,12,31,12,1,0.5,11.720496894409937
145,48,14,64,14,1,0.5,18.43534994068802
146,48,16,143,16,1,0.5,28.694608065246943
147,49,12,42,24,7,0.625,3.659840728100114
148,49,14,102,28,7,0.625,5.117998506348021
149,49,16,264,32,9,0.625,7.0117359413202935
150,50,12,163,2,6,0.625,11.603076923076923
151,50,14,422,2,7,0.625,18.43534994068802
152,50,16,1104,2,8,0.625,28.694608065246943
153,51,12,2048,2,0,0.5,0.0
154,51,14,8192,2,0,0.5,0.0
155,51,16,32768,2,0,0.5,0.0
156,52,12,52,12,2,0.875,6.301247771836007
157,52,14,120,14,2,0.875,9.082461538461539
158,52,16,298,16,2,0.875,13.024395463299808
159,53,12,44,24,5,0.75,3.5612472160356345
160,53,14,97,28,8,0.75,5.236771983250857
161,53,16,257,32,9,0.75,7.100865265760198
162,54,12,33,12,21,1.0,20.22279792746114
163,54,14,54,112,25,1.0,24.4015503875969
164,54,16,133,40,32,1.0,50.643814026792754
165,55,12,162,2,2,0.625,11.641975308641975
166,55,14,421,2,2,0.625,18.458432304038006
167,55,16,1103,2,2,0.625,28.70806890299184
168,56,12,34,12,6,0.875,10.736389684813753
169,56,14,68,14,7,0.875,17.367713004484305
170,56,16,149,16,8,0.875,27.55599128540305
171,57,12,8,12,14,1.0,69.62068965517241
172,57,14,10,14,17,1.0,159.62745098039215
173,57,16,14,16,20,1.0,363.0888888888889
174,58,12,9,24,10,0.75,36.236363636363635
175,58,14,11,28,11,0.75,91.04494382022472
176,58,16,19,32,12,0.75,161.62034739454094
177,59,12,42,24,7,0.625,3.659840728100114
178,59,14,102,28,7,0.625,5.117998506348021
179,59,16,264,32,9,0.625,7.0117359413202935
180,60,12,24,12,4,1.0,15.0
181,60,14,298,14,2,1.0,3.0
182,60,16,1,1,16,1.0,65535.0
183,61,12,21,30,11,0.875,13.27177700348432
184,61,14,11,42,17,0.875,58.57818181818182
185,61,16,16,48,23,0.875,117.29602888086643
186,62,12,92,24,23,0.875,10.976608187134502
187,62,14,307,28,21,0.875,14.906796116504854
188,62,16,804,32,35,0.875,23.37188545927854
189,63,12,39,24,1,0.5,3.801875732708089
190,63,14,97,28,1,0.5,5.236771983250857
191,63,16,257,32,1,0.5,7.100865265760198
192,64,12,1,1,2,0.375,4095.0
193,64,14,1,1,2,0.375,16383.0
194,64,16,1,1,2,0.375,65535.0
195,65,12,14,18,14,0.75,25.256410256410255
196,65,14,40,21,11,0.75,41.3359173126615
197,65,16,27,24,20,0.75,138.43829787234043
198,66,12,11,12,2,0.75,40.795918367346935
199,66,14,17,14,2,0.75,76.64928909952607
200,66,16,31,16,2,0.75,143.6710816777042
201,67,12,21,30,11,0.875,13.27177700348432
202,67,14,11,42,17,0.875,58.57818181818182
203,67,16,16,48,23,0.875,117.29602888086643
204,68,12,322,1,1,0.5,11.720496894409937
205,68,14,843,1,1,0.5,18.43534994068802
206,68,16,2207,1,1,0.5,28.694608065246943
207,69,12,30,2,10,0.625,131.1290322580645
208,69,14,52,2,12,0.625,308.1320754716981
209,69,16,91,2,14,0.625,711.3478260869565
210,70,12,75,2,11,0.875,26.86394557823129
211,70,14,185,2,13,0.875,43.643051771117165
212,70,16,419,2,15,0.875,77.48622754491018
213,71,12,751,2,1,0.75,1.7306666666666666
214,71,14,2537,2,1,0.75,2.230283911671924
215,71,16,8579,2,1,0.75,2.8200046630916296
216,72,12,98,1,2,0.75,40.795918367346935
217,72,14,211,1,2,0.75,76.64928909952607
218,72,16,453,1,2,0.75,143.6710816777042
219,73,12,162,6,12,1.125,7.733475479744136
220,73,14,327,42,20,1.125,10.924308588064047
221,73,16,971,18,20,1.125,14.107422775472568
222,74,12,29,12,9,0.875,14.226765799256505
223,74,14,51,42,9,0.875,22.372325249643367
224,74,16,115,48,12,0.875,33.1867501304121
225,75,12,33,240,167,1.0,3.366737739872068
226,75,14,16,2198,312,1.0,1.2542652724270775
227,75,16,42,2816,1776,1.0,4.342899070601663
228,76,12,1499,1,1,0.625,1.732488325550367
229,76,14,5071,1,1,0.625,2.2309209228948927
230,76,16,17155,1,1,0.625,2.820227338968231
231,77,12,325,2,5,0.75,11.56441717791411
