,rule,n_cells,m_attractors,mean_period,var_period,mean_transient,var_transient,derrida_coeff
75,5,8,55,1.818181818181818,0.14876033057851246,0.609375,0.238037109375,0.5
76,5,9,85,1.8588235294117648,0.1212456747404844,0.69140625,0.2133636474609375,0.5
77,5,10,153,1.8888888888888888,0.09876543209876544,0.7177734375,0.2025747299194336,0.5
78,5,11,254,1.9133858267716533,0.07911215822431647,0.7626953125,0.18099117279052732,0.5
79,5,12,435,1.9333333333333331,0.062222222222222186,0.794677734375,0.16316503286361694,0.5
80,5,13,768,1.94921875,0.0482025146484375,0.8172607421875,0.14934562146663666,0.5
81,5,14,1326,1.9615384615384612,0.03698224852071005,0.84124755859375,0.13355010375380516,0.5
82,5,15,2339,1.9709277469003847,0.02822705719932713,0.85931396484375,0.1208934746682644,0.5
83,5,16,4095,1.978021978021978,0.021494988527955568,0.87640380859375,0.1083201728761196,0.5
84,6,3,1,1.0,0.0,1.25,0.4375,0.75
85,6,4,5,2.2,2.16,0.3125,0.21484375,0.75
86,6,5,2,5.5,20.25,0.8125,0.46484375,0.75
87,6,6,7,3.8571428571428568,6.122448979591838,0.625,0.328125,0.75
88,6,7,2,7.5,42.25,2.0859375,3.31292724609375,0.75
89,6,8,10,5.1,9.489999999999998,1.20703125,0.7501068115234375,0.75
90,6,9,4,13.75,54.1875,1.724609375,1.8206443786621092,0.75
91,6,10,18,7.388888888888888,12.237654320987652,1.431640625,0.9347801208496094,0.75
92,6,11,6,18.5,61.25,2.4228515625,5.200102806091309,0.75
93,6,12,28,9.392857142857142,15.881377551020408,1.9208984375,1.8360280990600584,0.75
94,6,13,12,23.91666666666667,47.743055555555586,2.305908203125,3.2982658743858337,0.75
95,6,14,50,12.66,12.264400000000002,2.11663818359375,2.0413882099092007,0.75
96,6,15,24,27.95833333333333,47.53993055555557,2.782440185546875,6.419128908775747,0.75
97,6,16,92,14.815217391304348,12.541942344045367,2.4720001220703125,3.1063327060546726,0.75
98,7,3,1,2.0,0.0,1.125,0.609375,0.625
99,7,4,3,1.3333333333333333,0.2222222222222222,1.5,1.25,0.625
100,7,5,2,3.5,2.25,2.03125,1.9677734375,0.625
101,7,6,4,4.0,21.5,1.921875,2.634521484375,0.625
102,7,7,3,7.666666666666668,24.222222222222214,2.296875,3.146240234375,0.625
103,7,8,5,7.2,51.76000000000001,2.375,2.984375,0.625
104,7,9,4,11.75,45.1875,2.6015625,3.19281005859375,0.625
105,7,10,7,9.857142857142858,78.6938775510204,2.7197265625,2.9888296127319336,0.625
106,7,11,6,16.833333333333332,60.13888888888889,2.87353515625,3.091916799545288,0.625
107,7,12,10,16.0,104.6,2.977294921875,3.0080294013023376,0.625
108,7,13,11,22.63636363636364,56.413223140495866,3.0897216796875,3.0521306842565536,0.625
