rule,kr*,ks*,r(0),r(1),r(2),s(0),s(1),s(2)
102,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,0.0,1.0,1.0
103,0.2916666666666667,0.16666666666666666,0.75,0.25,0.25,0.0,0.75,0.75
104,0.16666666666666666,0.625,0.25,0.25,0.25,1.875,1.875,1.875
105,0.0,0.5,0.0,0.0,0.0,1.5,1.5,1.5
106,0.25,0.2916666666666667,0.5,0.5,0.0,1.125,1.125,0.375
107,0.16666666666666666,0.23611111111111113,0.25,0.25,0.25,0.875,0.875,0.375
108,0.25,0.2916666666666667,0.5,0.0,0.5,1.125,0.375,1.125
109,0.16666666666666666,0.23611111111111113,0.25,0.25,0.25,0.875,0.375,0.875
110,0.2916666666666667,0.23611111111111113,0.75,0.25,0.25,0.375,0.875,0.875
111,0.4166666666666667,0.18055555555555555,0.5,0.5,0.5,0.375,0.625,0.625
112,0.5,0.2777777777777778,0.25,0.75,0.75,0.0,1.25,1.25
113,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,0.0,1.0,1.0
114,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,0.5,0.5,1.0
115,0.5,0.1111111111111111,0.75,0.25,0.75,0.0,0.5,0.5
116,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,0.5,1.0,0.5
117,0.5,0.1111111111111111,0.75,0.75,0.25,0.0,0.5,0.5
118,0.2916666666666667,0.23611111111111113,0.75,0.25,0.25,0.375,0.875,0.875
119,0.5833333333333334,0.1111111111111111,1.0,0.5,0.5,0.0,0.5,0.5
120,0.25,0.2916666666666667,0.0,0.5,0.5,0.375,1.125,1.125
121,0.16666666666666666,0.2916666666666667,0.25,0.25,0.25,0.875,0.875,0.875
122,0.2916666666666667,0.23611111111111113,0.25,0.75,0.25,0.875,0.375,0.875
123,0.4166666666666667,0.18055555555555555,0.5,0.5,0.5,0.625,0.375,0.625
124,0.2916666666666667,0.23611111111111113,0.25,0.25,0.75,0.875,0.875,0.375
125,0.4166666666666667,0.18055555555555555,0.5,0.5,0.5,0.625,0.625,0.375
126,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75
127,0.5833333333333334,0.125,0.75,0.75,0.75,0.375,0.375,0.375
128,0.5833333333333334,0.875,0.75,0.75,0.75,2.625,2.625,2.625
129,0.25,0.75,0.5,0.5,0.5,2.25,2.25,2.25
130,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,1.5,1.5,0.0
131,0.2916666666666667,0.4166666666666667,0.25,0.25,0.75,1.25,1.25,1.25
132,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,1.5,0.0,1.5
133,0.2916666666666667,0.4166666666666667,0.25,0.75,0.25,1.25,1.25,1.25
134,0.16666666666666666,0.2777777777777778,0.25,0.25,0.25,0.0,1.25,1.25
135,0.25,0.2222222222222222,0.0,0.5,0.5,0.0,1.0,1.0
136,0.5833333333333334,0.5,1.0,0.5,0.5,1.5,1.5,1.5
137,0.2916666666666667,0.4166666666666667,0.75,0.25,0.25,1.25,1.25,1.25
138,0.5,0.2222222222222222,0.75,0.75,0.25,1.0,1.0,0.0
139,0.3333333333333333,0.2777777777777778,0.5,0.5,0.5,0.75,1.0,0.75
140,0.5,0.2222222222222222,0.75,0.25,0.75,1.0,0.0,1.0
141,0.3333333333333333,0.2777777777777778,0.5,0.5,0.5,0.75,0.75,1.0
142,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,0.0,1.0,1.0
143,0.5,0.16666666666666666,0.25,0.75,0.75,0.0,0.75,0.75
144,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,0.0,1.5,1.5
145,0.2916666666666667,0.4166666666666667,0.75,0.25,0.25,1.25,1.25,1.25
146,0.16666666666666666,0.2777777777777778,0.25,0.25,0.25,1.25,0.0,1.25
147,0.25,0.2222222222222222,0.5,0.0,0.5,1.0,0.0,1.0
148,0.16666666666666666,0.2777777777777778,0.25,0.25,0.25,1.25,1.25,0.0
149,0.25,0.2222222222222222,0.5,0.5,0.0,1.0,1.0,0.0
150,0.0,0.5,0.0,0.0,0.0,1.5,1.5,1.5
151,0.16666666666666666,0.375,0.25,0.25,0.25,1.125,1.125,1.125
152,0.2916666666666667,0.2777777777777778,0.75,0.25,0.25,0.0,1.25,1.25
153,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,0.0,1.0,1.0
154,0.25,0.16666666666666666,0.5,0.5,0.0,0.75,0.0,0.75
155,0.2916666666666667,0.05555555555555555,0.75,0.25,0.25,0.25,0.0,0.25
156,0.25,0.16666666666666666,0.5,0.0,0.5,0.75,0.75,0.0
157,0.2916666666666667,0.05555555555555555,0.75,0.25,0.25,0.25,0.25,0.0
158,0.16666666666666666,0.2916666666666667,0.25,0.25,0.25,0.875,0.875,0.875
159,0.4166666666666667,0.16666666666666666,0.5,0.5,0.5,0.5,0.5,0.5
160,0.5833333333333334,0.3333333333333333,0.5,1.0,0.5,1.5,0.0,1.5
161,0.2916666666666667,0.4166666666666667,0.25,0.75,0.25,1.25,1.25,1.25
162,0.5,0.2222222222222222,0.75,0.75,0.25,1.0,1.0,0.0
163,0.3333333333333333,0.2777777777777778,0.5,0.5,0.5,1.0,0.75,0.75
164,0.2916666666666667,0.2777777777777778,0.25,0.75,0.25,1.25,0.0,1.25
165,0.3333333333333333,0.2222222222222222,0.0,1.0,0.0,1.0,0.0,1.0
166,0.25,0.16666666666666666,0.5,0.5,0.0,0.0,0.75,0.75
167,0.2916666666666667,0.05555555555555555,0.25,0.75,0.25,0.0,0.25,0.25
168,0.5,0.2777777777777778,0.75,0.75,0.25,1.25,1.25,0.0
169,0.25,0.2222222222222222,0.5,0.5,0.0,1.0,1.0,0.0
170,0.6666666666666666,0.2222222222222222,1.0,1.0,0.0,1.0,1.0,0.0
171,0.5,0.16666666666666666,0.75,0.75,0.25,0.75,0.75,0.0
172,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.75,0.0,0.75
173,0.2916666666666667,0.05555555555555555,0.25,0.75,0.25,0.25,0.25,0.0
174,0.5,0.1111111111111111,0.75,0.75,0.25,0.0,0.5,0.5
175,0.5833333333333334,0.0,0.5,1.0,0.5,0.0,0.0,0.0
176,0.5,0.2222222222222222,0.25,0.75,0.75,0.0,1.0,1.0
177,0.3333333333333333,0.2777777777777778,0.5,0.5,0.5,0.75,0.75,1.0
178,0.3333333333333333,0.2222222222222222,0.5,0.5,0.5,1.0,0.0,1.0
179,0.5,0.16666666666666666,0.75,0.25,0.75,0.75,0.0,0.75
180,0.25,0.16666666666666666,0.0,0.5,0.5,0.75,0.75,0.0
181,0.2916666666666667,0.05555555555555555,0.25,0.75,0.25,0.25,0.25,0.0
182,0.16666666666666666,0.23611111111111113,0.25,0.25,0.25,0.875,0.375,0.875
183,0.4166666666666667,0.1111111111111111,0.5,0.5,0.5,0.5,0.0,0.5
184,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.0,0.75,0.75
185,0.2916666666666667,0.05555555555555555,0.75,0.25,0.25,0.25,0.25,0.0
186,0.5,0.1111111111111111,0.75,0.75,0.25,0.5,0.0,0.5
187,0.5833333333333334,0.0,1.0,0.5,0.5,0.0,0.0,0.0
