,rule,"((0,), (1,), (2,))","((0,), (1,))","((0,), (2,))","((0,), (1, 2))","((0,),)","((1,), (2,))","((1,), (0, 2))","((2,), (0, 1))","((0, 1), (0, 2), (1, 2))","((0, 1), (0, 2))","((1,),)","((0, 1), (1, 2))","((0, 1),)","((2,),)","((0, 2), (1, 2))","((0, 2),)","((1, 2),)","((0, 1, 2),)"
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.024080634742799478,0.024080634742799478,0.024080634742799478,0.0,0.06568347674163147,0.024080634742799478,0.0,0.0,0.0,0.08339715800116801,0.06568347674163147,0.08339715800116801,-0.10091936525720052,0.06568347674163147,0.08339715800116801,-0.10091936525720052,-0.10091936525720047,0.30275809577160145
2,2,0.024080634742799478,0.024080634742799478,0.024080634742799478,0.0,0.06568347674163147,0.024080634742799478,0.0,0.0,0.0,0.08339715800116801,0.06568347674163147,0.08339715800116801,-0.10091936525720052,0.06568347674163147,0.08339715800116801,-0.10091936525720052,-0.10091936525720047,0.30275809577160145
3,3,0.0,0.10375937481971094,0.0,0.0,0.2075187496394219,0.0,0.0,0.0,0.0,0.14624062518028913,0.2075187496394219,0.14624062518028913,0.0,0.0,0.0,-0.14624062518028919,-0.14624062518028919,0.2924812503605785
4,4,0.024080634742799478,0.024080634742799478,0.024080634742799478,0.0,0.06568347674163147,0.024080634742799478,0.0,0.0,0.0,0.08339715800116801,0.06568347674163147,0.08339715800116801,-0.10091936525720052,0.06568347674163147,0.08339715800116801,-0.10091936525720052,-0.10091936525720047,0.30275809577160145
5,5,0.0,0.0,0.10375937481971094,0.0,0.2075187496394219,0.0,0.0,0.0,0.0,0.14624062518028913,0.0,0.0,-0.14624062518028919,0.2075187496394219,0.14624062518028913,-2.220446049250313e-16,-0.14624062518028913,0.2924812503605785
6,6,0.0,0.0,0.0,0.10375937481971094,0.2075187496394219,3.620277033536391e-16,6.777068831425528e-09,6.777068831425528e-09,-1.3554138034166385e-08,-7.787976602502411e-08,-6.777069193453232e-09,6.777069197494434e-09,7.787976596951296e-08,-6.777069193453232e-09,6.777069197494434e-09,7.787976596951296e-08,0.20751874963942188,0.2924811724808123
7,7,0.0,0.06575860145844852,0.06575860145844852,-0.04675821477781732,0.46403595255631885,0.023508747095264775,0.028370940314590698,0.028370940314590698,-0.028370940314590698,0.01900038668063131,-0.0688433481729054,0.12072303558276086,0.0328793007292244,-0.0688433481729054,0.12072303558276086,0.0328793007292244,-0.035964047443681146,0.20120505930460064
8,8,0.024080634742799478,0.024080634742799478,0.024080634742799478,0.0,0.06568347674163147,0.024080634742799478,0.0,0.0,0.0,0.08339715800116801,0.06568347674163147,0.08339715800116801,-0.10091936525720052,0.06568347674163147,0.08339715800116801,-0.10091936525720052,-0.10091936525720047,0.30275809577160145
9,9,0.0,0.0,0.0,0.10375937481971094,0.2075187496394219,5.317521410907757e-16,6.777068661701091e-09,6.777068661701091e-09,-1.3554137839877356e-08,-7.787976596951296e-08,-6.777069193453232e-09,6.777069197494434e-09,7.787976591400181e-08,-6.777069193453232e-09,6.777069197494434e-09,7.787976591400181e-08,0.20751874963942188,0.2924811724808123
